Threatened_species,Year,Series,Value
Morocco,2004,Threatened Species: Invertebrates (number),8
Iceland,2018,Threatened Species: Total (number),29
Poland,2020,Threatened Species: Total (number),95
Mali,2019,Threatened Species: Total (number),61
Cuba,2010,Threatened Species: Plants (number),166
Guam,2019,Threatened Species: Total (number),103
Viet Nam,2004,Threatened Species: Invertebrates (number),0
El Salvador,2010,Threatened Species: Total (number),72
Comoros,2020,Threatened Species: Vertebrates (number),41
Martinique,2004,Threatened Species: Plants (number),8
Qatar,2010,Threatened Species: Invertebrates (number),13
Nepal,2010,Threatened Species: Total (number),93
State of Palestine,2017,Threatened Species: Vertebrates (number),24
Areas n.e.s,2004,Threatened Species: Total (number),1
South Sudan,2016,Threatened Species: Invertebrates (number),0
Cambodia,2017,Threatened Species: Plants (number),35
Romania,2018,Threatened Species: Plants (number),7
Morocco,2020,Threatened Species: Vertebrates (number),106
New Caledonia,2016,Threatened Species: Invertebrates (number),125
Estonia,2004,Threatened Species: Vertebrates (number),8
Denmark,2018,Threatened Species: Plants (number),4
Australia,2019,Threatened Species: Vertebrates (number),363
Peru,2016,Threatened Species: Plants (number),334
Indonesia,2004,Threatened Species: Total (number),833
Antigua and Barbuda,2017,Threatened Species: Vertebrates (number),40
Fiji,2004,Threatened Species: Vertebrates (number),33
Venezuela (Boliv. Rep. of),2016,Threatened Species: Plants (number),82
Guatemala,2016,Threatened Species: Invertebrates (number),13
Angola,2017,Threatened Species: Vertebrates (number),103
Syrian Arab Republic,2019,Threatened Species: Plants (number),31
Poland,2016,Threatened Species: Total (number),58
Timor-Leste,2010,Threatened Species: Total (number),18
Maldives,2004,Threatened Species: Plants (number),0
Northern Mariana Islands,2010,Threatened Species: Total (number),85
Réunion,2019,Threatened Species: Total (number),137
Bulgaria,2010,Threatened Species: Total (number),66
Bangladesh,2016,Threatened Species: Invertebrates (number),7
Belize,2019,Threatened Species: Total (number),131
Heard Is. and McDonald Is.,2020,Threatened Species: Total (number),12
United States Virgin Islands,2018,Threatened Species: Total (number),63
Tokelau,2017,Threatened Species: Invertebrates (number),35
Guinea-Bissau,2018,Threatened Species: Total (number),80
Mongolia,2010,Threatened Species: Plants (number),0
Guinea-Bissau,2017,Threatened Species: Invertebrates (number),2
Cocos (Keeling) Islands,2019,Threatened Species: Plants (number),0
Bermuda,2019,Threatened Species: Plants (number),8
Guyana,2017,Threatened Species: Plants (number),26
Iceland,2018,Threatened Species: Invertebrates (number),0
Vanuatu,2010,Threatened Species: Total (number),121
Thailand,2020,Threatened Species: Invertebrates (number),213
Turks and Caicos Islands,2020,Threatened Species: Plants (number),8
Ghana,2018,Threatened Species: Total (number),241
Brazil,2019,Threatened Species: Total (number),1057
United Rep. of Tanzania,2019,Threatened Species: Plants (number),661
Ethiopia,2016,Threatened Species: Vertebrates (number),92
Guernsey,2019,Threatened Species: Vertebrates (number),6
Guinea-Bissau,2017,Threatened Species: Plants (number),5
Norfolk Island,2019,Threatened Species: Invertebrates (number),23
Jamaica,2016,Threatened Species: Invertebrates (number),15
Solomon Islands,2017,Threatened Species: Vertebrates (number),77
Kyrgyzstan,2018,Threatened Species: Vertebrates (number),26
French Polynesia,2019,Threatened Species: Total (number),177
Antarctica,2016,Threatened Species: Total (number),6
Netherlands,2010,Threatened Species: Plants (number),0
Kazakhstan,2018,Threatened Species: Plants (number),14
Republic of Korea,2018,Threatened Species: Vertebrates (number),78
Sri Lanka,2016,Threatened Species: Plants (number),291
Cambodia,2010,Threatened Species: Vertebrates (number),107
Djibouti,2018,Threatened Species: Vertebrates (number),43
Finland,2017,Threatened Species: Total (number),36
Dem. People's Rep. Korea,2010,Threatened Species: Plants (number),6
Switzerland,2018,Threatened Species: Vertebrates (number),22
Burundi,2019,Threatened Species: Plants (number),110
Angola,2020,Threatened Species: Invertebrates (number),11
Madagascar,2017,Threatened Species: Invertebrates (number),172
Bulgaria,2004,Threatened Species: Vertebrates (number),35
Argentina,2017,Threatened Species: Invertebrates (number),14
Turks and Caicos Islands,2017,Threatened Species: Vertebrates (number),41
Other non-specified areas,2018,Threatened Species: Plants (number),85
Solomon Islands,2020,Threatened Species: Plants (number),24
Zambia,2004,Threatened Species: Vertebrates (number),24
Aruba,2016,Threatened Species: Plants (number),2
Ukraine,2017,Threatened Species: Plants (number),18
Tuvalu,2016,Threatened Species: Total (number),95
South Africa,2020,Threatened Species: Total (number),597
Nauru,2004,Threatened Species: Total (number),5
Luxembourg,2020,Threatened Species: Plants (number),5
Botswana,2017,Threatened Species: Invertebrates (number),0
Martinique,2010,Threatened Species: Invertebrates (number),1
Belgium,2019,Threatened Species: Invertebrates (number),15
Australia,2018,Threatened Species: Vertebrates (number),358
Sri Lanka,2020,Threatened Species: Invertebrates (number),130
Philippines,2017,Threatened Species: Total (number),783
Areas n.e.s,2019,Threatened Species: Invertebrates (number),1
Bahrain,2018,Threatened Species: Plants (number),0
Indonesia,2020,Threatened Species: Invertebrates (number),364
Ukraine,2017,Threatened Species: Total (number),102
China,2018,Threatened Species: Vertebrates (number),431
Oman,2020,Threatened Species: Invertebrates (number),31
Mongolia,2017,Threatened Species: Vertebrates (number),38
Estonia,2019,Threatened Species: Total (number),39
Peru,2020,Threatened Species: Total (number),819
Serbia,2017,Threatened Species: Total (number),71
Saint Barthélemy,2010,Threatened Species: Vertebrates (number),4
Turkmenistan,2016,Threatened Species: Vertebrates (number),42
Egypt,2020,Threatened Species: Vertebrates (number),107
Sri Lanka,2020,Threatened Species: Plants (number),298
Mongolia,2019,Threatened Species: Invertebrates (number),3
Cocos (Keeling) Islands,2004,Threatened Species: Total (number),5
Uruguay,2016,Threatened Species: Total (number),106
Saint Martin (French part),2019,Threatened Species: Plants (number),3
Netherlands,2020,Threatened Species: Invertebrates (number),11
Japan,2020,Threatened Species: Plants (number),65
Niue,2019,Threatened Species: Plants (number),0
Israel,2020,Threatened Species: Plants (number),28
Jordan,2019,Threatened Species: Plants (number),8
State of Palestine,2017,Threatened Species: Total (number),31
Saint Martin (French part),2010,Threatened Species: Vertebrates (number),4
Costa Rica,2019,Threatened Species: Total (number),351
Ukraine,2017,Threatened Species: Invertebrates (number),31
Saint Lucia,2018,Threatened Species: Invertebrates (number),11
Kazakhstan,2020,Threatened Species: Vertebrates (number),59
Peru,2017,Threatened Species: Vertebrates (number),351
Uganda,2020,Threatened Species: Vertebrates (number),128
Israel,2004,Threatened Species: Plants (number),0
Saint Lucia,2019,Threatened Species: Invertebrates (number),11
Japan,2017,Threatened Species: Plants (number),49
Anguilla,2004,Threatened Species: Vertebrates (number),15
Bangladesh,2004,Threatened Species: Invertebrates (number),0
Jordan,2004,Threatened Species: Plants (number),0
Chad,2017,Threatened Species: Total (number),43
New Zealand,2010,Threatened Species: Invertebrates (number),15
Cocos (Keeling) Islands,2016,Threatened Species: Vertebrates (number),12
China,2016,Threatened Species: Invertebrates (number),76
Kazakhstan,2017,Threatened Species: Vertebrates (number),59
United States Virgin Islands,2019,Threatened Species: Plants (number),17
Thailand,2018,Threatened Species: Vertebrates (number),255
Algeria,2019,Threatened Species: Invertebrates (number),40
Bermuda,2004,Threatened Species: Plants (number),4
Lao People's Dem. Rep.,2016,Threatened Species: Total (number),215
French Polynesia,2017,Threatened Species: Invertebrates (number),62
Mexico,2018,Threatened Species: Plants (number),450
United Kingdom,2018,Threatened Species: Vertebrates (number),64
Dominica,2010,Threatened Species: Invertebrates (number),11
Jersey,2019,Threatened Species: Vertebrates (number),6
Gabon,2017,Threatened Species: Total (number),270
Dominica,2016,Threatened Species: Plants (number),11
Tokelau,2016,Threatened Species: Plants (number),0
Kiribati,2017,Threatened Species: Plants (number),0
Papua New Guinea,2016,Threatened Species: Vertebrates (number),155
Gambia,2020,Threatened Species: Plants (number),7
Cuba,2020,Threatened Species: Invertebrates (number),23
Comoros,2018,Threatened Species: Total (number),119
Italy,2019,Threatened Species: Total (number),458
San Marino,2016,Threatened Species: Total (number),1
Burundi,2017,Threatened Species: Plants (number),8
El Salvador,2017,Threatened Species: Invertebrates (number),10
South Sudan,2020,Threatened Species: Vertebrates (number),42
Slovenia,2016,Threatened Species: Total (number),138
Qatar,2010,Threatened Species: Plants (number),0
"China, Hong Kong SAR",2018,Threatened Species: Invertebrates (number),8
Saint Pierre and Miquelon,2020,Threatened Species: Vertebrates (number),19
"Bonaire, St. Eustatius & Saba",2020,Threatened Species: Total (number),67
Faroe Islands,2010,Threatened Species: Total (number),13
Zambia,2018,Threatened Species: Invertebrates (number),15
Dominican Republic,2004,Threatened Species: Invertebrates (number),2
Latvia,2004,Threatened Species: Total (number),23
Saint Martin (French part),2017,Threatened Species: Plants (number),3
Falkland Islands (Malvinas),2017,Threatened Species: Invertebrates (number),0
Spain,2017,Threatened Species: Vertebrates (number),138
Sri Lanka,2019,Threatened Species: Vertebrates (number),175
French Polynesia,2018,Threatened Species: Total (number),176
Germany,2017,Threatened Species: Total (number),116
Anguilla,2018,Threatened Species: Invertebrates (number),10
Bouvet Island,2019,Threatened Species: Invertebrates (number),0
Saint Vincent & Grenadines,2004,Threatened Species: Total (number),24
French Guiana,2016,Threatened Species: Vertebrates (number),55
Guadeloupe,2016,Threatened Species: Plants (number),9
Cook Islands,2019,Threatened Species: Plants (number),11
Kazakhstan,2010,Threatened Species: Vertebrates (number),53
Guam,2020,Threatened Species: Vertebrates (number),42
Guernsey,2016,Threatened Species: Plants (number),0
Seychelles,2018,Threatened Species: Vertebrates (number),58
Cocos (Keeling) Islands,2018,Threatened Species: Invertebrates (number),20
Kuwait,2017,Threatened Species: Invertebrates (number),13
Sudan,2016,Threatened Species: Invertebrates (number),50
Mongolia,2016,Threatened Species: Total (number),40
Andorra,2016,Threatened Species: Vertebrates (number),5
United Arab Emirates,2010,Threatened Species: Vertebrates (number),32
El Salvador,2018,Threatened Species: Invertebrates (number),10
Svalbard and Jan Mayen Is.,2020,Threatened Species: Invertebrates (number),0
Bouvet Island,2020,Threatened Species: Total (number),2
Jersey,2016,Threatened Species: Invertebrates (number),1
Iran (Islamic Republic of),2004,Threatened Species: Vertebrates (number),65
Anguilla,2016,Threatened Species: Vertebrates (number),38
Falkland Islands (Malvinas),2020,Threatened Species: Invertebrates (number),0
Thailand,2019,Threatened Species: Plants (number),168
Lao People's Dem. Rep.,2010,Threatened Species: Total (number),132
French Southern Territories,2010,Threatened Species: Invertebrates (number),0
French Southern Territories,2016,Threatened Species: Plants (number),0
Vanuatu,2016,Threatened Species: Invertebrates (number),92
Faroe Islands,2018,Threatened Species: Total (number),23
Syrian Arab Republic,2018,Threatened Species: Invertebrates (number),22
Poland,2010,Threatened Species: Total (number),37
Cook Islands,2020,Threatened Species: Total (number),77
Luxembourg,2004,Threatened Species: Invertebrates (number),4
Cuba,2010,Threatened Species: Invertebrates (number),15
Nigeria,2016,Threatened Species: Plants (number),197
Portugal,2019,Threatened Species: Invertebrates (number),205
Lebanon,2018,Threatened Species: Vertebrates (number),57
Czechia,2020,Threatened Species: Invertebrates (number),29
Switzerland,2010,Threatened Species: Total (number),45
Sierra Leone,2018,Threatened Species: Plants (number),71
Kenya,2017,Threatened Species: Vertebrates (number),162
Uzbekistan,2020,Threatened Species: Invertebrates (number),3
Bhutan,2010,Threatened Species: Vertebrates (number),50
Ireland,2019,Threatened Species: Vertebrates (number),44
Thailand,2016,Threatened Species: Vertebrates (number),245
Barbados,2020,Threatened Species: Vertebrates (number),48
Pitcairn,2020,Threatened Species: Vertebrates (number),21
Ireland,2017,Threatened Species: Plants (number),3
India,2004,Threatened Species: Total (number),552
Ireland,2016,Threatened Species: Invertebrates (number),6
Saint Pierre and Miquelon,2010,Threatened Species: Invertebrates (number),0
Bosnia and Herzegovina,2016,Threatened Species: Vertebrates (number),51
Mexico,2018,Threatened Species: Invertebrates (number),106
Kiribati,2017,Threatened Species: Vertebrates (number),23
El Salvador,2020,Threatened Species: Vertebrates (number),55
Bhutan,2020,Threatened Species: Vertebrates (number),55
Lao People's Dem. Rep.,2019,Threatened Species: Vertebrates (number),164
Niger,2020,Threatened Species: Total (number),37
United States of America,2020,Threatened Species: Invertebrates (number),586
